"","personid","gender","age","study_level","children","toursist_dependent","club_member","variable","value","alt","cs","choice","water","detritus","congestion","biodiversity","price"
"set1.alt1",1,"Femme","30 - 49 ans","License","Non","Non","Oui","1","A",1,1,1,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2",1,"Femme","30 - 49 ans","License","Non","Non","Oui","1","A",2,1,0,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1",1,"Femme","30 - 49 ans","License","Non","Non","Oui","2","A",1,2,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2",1,"Femme","30 - 49 ans","License","Non","Non","Oui","2","A",2,2,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1",1,"Femme","30 - 49 ans","License","Non","Non","Oui","3","B",1,3,0,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2",1,"Femme","30 - 49 ans","License","Non","Non","Oui","3","B",2,3,1,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1",1,"Femme","30 - 49 ans","License","Non","Non","Oui","4","A",1,4,1,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2",1,"Femme","30 - 49 ans","License","Non","Non","Oui","4","A",2,4,0,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1",1,"Femme","30 - 49 ans","License","Non","Non","Oui","5","A",1,5,1,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2",1,"Femme","30 - 49 ans","License","Non","Non","Oui","5","A",2,5,0,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1",1,"Femme","30 - 49 ans","License","Non","Non","Oui","6","B",1,6,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2",1,"Femme","30 - 49 ans","License","Non","Non","Oui","6","B",2,6,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
"set1.alt1.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","1","A",1,7,1,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","1","A",2,7,0,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","2","A",1,8,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","2","A",2,8,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","3","A",1,9,1,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","3","A",2,9,0,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","4","A",1,10,1,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","4","A",2,10,0,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","5","A",1,11,1,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","5","A",2,11,0,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","6","B",1,12,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2.1",2,"Homme","18 - 29 ans","Master ou plus","Non","Non","Non","6","B",2,12,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
"set1.alt1.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","1","B",1,13,0,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","1","B",2,13,1,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","2","A",1,14,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","2","A",2,14,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","3","B",1,15,0,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","3","B",2,15,1,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","4","B",1,16,0,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","4","B",2,16,1,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","5","B",1,17,0,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","5","B",2,17,1,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","6","B",1,18,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2.2",3,"Femme","18 - 29 ans","License","Non","Non","Non","6","B",2,18,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
"set1.alt1.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","1","A",1,19,1,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","1","A",2,19,0,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","2","A",1,20,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","2","A",2,20,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","3","A",1,21,1,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","3","A",2,21,0,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","4","B",1,22,0,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","4","B",2,22,1,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","5","B",1,23,0,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","5","B",2,23,1,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","6","B",1,24,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2.3",4,"Homme","18 - 29 ans","License","Non","Oui","Non","6","B",2,24,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
"set1.alt1.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","1","A",1,25,1,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","1","A",2,25,0,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","2","A",1,26,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","2","A",2,26,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","3","B",1,27,0,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","3","B",2,27,1,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","4","A",1,28,1,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","4","A",2,28,0,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","5","B",1,29,0,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","5","B",2,29,1,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","6","B",1,30,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2.4",5,"Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","6","B",2,30,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
"set1.alt1.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","1","B",1,31,0,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","1","B",2,31,1,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","2","A",1,32,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","2","A",2,32,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","3","B",1,33,0,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","3","B",2,33,1,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","4","B",1,34,0,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","4","B",2,34,1,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","5","B",1,35,0,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","5","B",2,35,1,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","6","B",1,36,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2.5",6,"Femme","30 - 49 ans","License","Non","Oui","Non","6","B",2,36,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
"set1.alt1.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","1","A",1,37,1,"Excellent water","Garbage removed","Very crowded","Moderate biodiversity",25
"set1.alt2.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","1","A",2,37,0,"Insufficient water","Both removed","Crowded","High biodiversity",25
"set2.alt1.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","2","A",1,38,1,"Acceptable water","Both left","Very crowded","High biodiversity",10
"set2.alt2.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","2","A",2,38,0,"Insufficient water","Both left","Very crowded","No biodiversity",0
"set3.alt1.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","3","B",1,39,0,"Acceptable water","Both removed","Very crowded","Moderate biodiversity",40
"set3.alt2.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","3","B",2,39,1,"Insufficient water","Garbage removed","Crowded","Moderate biodiversity",10
"set4.alt1.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","4","A",1,40,1,"Acceptable water","Both removed","Very crowded","High biodiversity",25
"set4.alt2.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","4","A",2,40,0,"Acceptable water","Both left","Crowded","High biodiversity",10
"set5.alt1.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","5","B",1,41,0,"Acceptable water","Garbage removed","Very crowded","No biodiversity",25
"set5.alt2.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","5","B",2,41,1,"Insufficient water","Both removed","Very crowded","Moderate biodiversity",0
"set6.alt1.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","6","B",1,42,0,"Excellent water","Both left","Not crowded","Moderate biodiversity",25
"set6.alt2.6",7,"Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","6","B",2,42,1,"Excellent water","Garbage removed","Crowded","Moderate biodiversity",0
